ESV,text,Parallel,version,verse_text,toCheck
Genesis 41.2,"and behold, there came up out of the Nile seven cows attractive and plump, and they fed in the reed grass.",Genesis 41.2,Vulgate,"Genesis 41.2 de quo ascendebant septem boves, pulchræ et crassæ nimis: et pascebantur in locis palustribus.",False
Genesis 41.4,"And the ugly, thin cows ate up the seven attractive, plump cows. And Pharaoh awoke.",Genesis 41.4,Vulgate,"Genesis 41.4 devoraveruntque eas, quarum mira species et habitudo corporum erat. Expergefactus Pharao,",False
Genesis 41.6,"And behold, after them sprouted seven ears, thin and blighted by the east wind.",Genesis 41.6,Vulgate,"Genesis 41.6 aliæ quoque totidem spicæ tenues, et percussæ uredine oriebantur,",False
Genesis 41.7,"And the thin ears swallowed up the seven plump, full ears. And Pharaoh awoke, and behold, it was a dream.",Genesis 41.7,Vulgate,"Genesis 41.7 devorantes omnium priorum pulchritudinem. Evigilans Pharao post quietem,",False
Genesis 41.14,"Then Pharaoh sent and called Joseph, and they quickly brought him out of the pit. And when he had shaved himself and changed his clothes, he came in before Pharaoh.",Genesis 41.14,Vulgate,Genesis 41.14 Protinus ad regis imperium eductum de carcere Joseph totonderunt: ac veste mutata obtulerunt ei.,False
Genesis 41.21,"but when they had eaten them no one would have known that they had eaten them, for they were still as ugly as at the beginning. Then I awoke.",Genesis 41.21,Vulgate,"Genesis 41.21 nullum saturitatis dedere vestigium: sed simili macie et squalore torpebant. Evigilans, rursus sopore depressus,",False
Genesis 41.23,"Seven ears, withered, thin, and blighted by the east wind, sprouted after them,",Genesis 41.23,Vulgate,"Genesis 41.23 Aliæ quoque septem tenues et percussæ uredine, oriebantur e stipula:",False
Genesis 41.24,"and the thin ears swallowed up the seven good ears. And I told it to the magicians, but there was no one who could explain it to me.""",Genesis 41.24,Vulgate,"Genesis 41.24 quæ priorum pulchritudinem devoraverunt. Narravi conjectoribus somnium, et nemo est qui edisserat.",False
Genesis 41.31,"and the plenty will be unknown in the land by reason of the famine that will follow, for it will be very severe.",Genesis 41.31,Vulgate,Genesis 41.31 et ubertatis magnitudinem perditura est inopiæ magnitudo.,False
Genesis 41.47,"During the seven plentiful years the earth produced abundantly,",Genesis 41.47,Vulgate,Genesis 41.47 Venitque fertilitas septem annorum: et in manipulos redactæ segetes congregatæ sunt in horrea Ægypti.,False
Genesis 41.48,"and he gathered up all the food of these seven years, which occurred in the land of Egypt, and put the food in the cities. He put in every city the food from the fields around it.",Genesis 41.48,Vulgate,Genesis 41.48 Omnis etiam frugum abundantia in singulis urbibus condita est.,False
Genesis 42.9,"And Joseph remembered the dreams that he had dreamed of them. And he said to them, ""You are spies; you have come to see the nakedness of the land.""",Genesis 42.9,Vulgate,"Genesis 42.9 Recordatusque somniorum, quæ aliquando viderat, ait ad eos: Exploratores estis: ut videatis infirmiora terræ venistis.",False
Genesis 42.34,"Bring your youngest brother to me. Then I shall know that you are not spies but honest men, and I will deliver your brother to you, and you shall trade in the land.'""",Genesis 42.34,Vulgate,"Genesis 42.34 fratremque vestrum minimum adducite ad me, ut sciam quod non sitis exploratores: et istum, qui tenetur in vinculis, recipere possitis: ac deinceps quæ vultis, emendi habeatis licentiam.",False
Genesis 42.35,"As they emptied their sacks, behold, every man's bundle of money was in his sack. And when they and their father saw their bundles of money, they were afraid.",Genesis 42.35,Vulgate,"Genesis 42.35 His dictis, cum frumenta effunderent, singuli repererunt in ore saccorum ligatas pecunias, exterritisque simul omnibus,",False
Genesis 43.17,The man did as Joseph told him and brought the men to Joseph's house.,Genesis 43.17,Vulgate,"Genesis 43.17 Fecit ille quod sibi fuerat imperatum, et introduxit viros domum.",False
Genesis 43.19,"So they went up to the steward of Joseph's house and spoke with him at the door of the house,",Genesis 43.19,Vulgate,"Genesis 43.19 Quam ob rem in ipsis foribus accedentes ad dispensatorem domus,",False
Genesis 44.6,"When he overtook them, he spoke to them these words.",Genesis 44.6,Vulgate,Genesis 44.6 Fecit ille ut jusserat: et apprehensis per ordinem locutus est.,False
Genesis 44.14,"When Judah and his brothers came to Joseph's house, he was still there. They fell before him to the ground.",Genesis 44.14,Vulgate,Genesis 44.14 Primusque Judas cum fratribus ingressus est ad Joseph (necdum enim de loco abierat) omnesque ante eum pariter in terram corruerunt.,False
Genesis 44.28,"One left me, and I said, Surely he has been torn to pieces, and I have never seen him since.",Genesis 44.28,Vulgate,"Genesis 44.28 Egressus est unus, et dixistis: Bestia devoravit eum: et hucusque non comparet.",False
Genesis 46.13,"The sons of Issachar: Tola, Puvah, Yob, and Shimron.",Genesis 46.13,Vulgate,Genesis 46.13 Filii Issachar: Thola et Phua et Job et Semron.,False
Genesis 46.24,"The sons of Naphtali: Jahzeel, Guni, Jezer, and Shillem.",Genesis 46.24,Vulgate,Genesis 46.24 Filii Nephthali: Jasiel et Guni et Jeser et Sallem.,False
Genesis 47.10,And Jacob blessed Pharaoh and went out from the presence of Pharaoh.,Genesis 47.10,Vulgate,"Genesis 47.10 Et benedicto rege, egressus est foras.",False
Genesis 47.25,"And they said, ""You have saved our lives; may it please my lord, we will be servants to Pharaoh.""",Genesis 47.25,Vulgate,"Genesis 47.25 Qui responderunt: Salus nostra in manu tua est: respiciat nos tantum dominus noster, et læti serviemus regi.",False
Genesis 47.26,"So Joseph made it a statute concerning the land of Egypt, and it stands to this day, that Pharaoh should have the fifth; the land of the priests alone did not become Pharaoh's.",Genesis 47.26,Vulgate,"Genesis 47.26 Ex eo tempore usque in præsentem diem, in universa terra Ægypti regibus quinta pars solvitur, et factum est quasi in legem, absque terra sacerdotali, quæ libera ab hac conditione fuit.",False
Genesis 49.21,"""Naphtali is a doe let loose that bears beautiful fawns.",Genesis 49.21,Vulgate,"Genesis 49.21 Nephthali, cervus emissus, et dans eloquia pulchritudinis.",False
Genesis 49.23,"The archers bitterly attacked him, shot at him, and harassed him severely,",Genesis 49.23,Vulgate,"Genesis 49.23 Sed exasperaverunt eum et jurgati sunt, invideruntque illi habentes jacula.",False
Genesis 50.3,"Forty days were required for it, for that is how many are required for embalming. And the Egyptians wept for him seventy days.",Genesis 50.3,Vulgate,"Genesis 50.3 Quibus jussa explentibus, transierunt quadraginta dies: iste quippe mos erat cadaverum conditorum: flevitque eum Ægyptus septuaginta diebus.",False
Genesis 50.19,"But Joseph said to them, ""Do not fear, for am I in the place of God?",Genesis 50.19,Vulgate,Genesis 50.19 Quibus ille respondit: Nolite timere: num Dei possumus resistere voluntati?,False
Genesis 50.24,"And Joseph said to his brothers, ""I am about to die, but God will visit you and bring you up out of this land to the land that he swore to Abraham, to Isaac, and to Jacob.""",Genesis 50.24,Vulgate,"Genesis 50.24 Cumque adjurasset eos atque dixisset: Deus visitabit vos, asportate ossa mea vobiscum de loco isto:",False
Exodus 1.16,"""When you serve as midwife to the Hebrew women and see them on the birthstool, if it is a son, you shall kill him, but if it is a daughter, she shall live.""",Exodus 1.16,Vulgate,"Exodus 1.16 præcipiens eis: Quando obstetricabitis Hebræas, et partus tempus advenerit: si masculus fuerit, interficite eum: si femina, reservate.",False
Exodus 1.18,"So the king of Egypt called the midwives and said to them, ""Why have you done this, and let the male children live?""",Exodus 1.18,Vulgate,"Exodus 1.18 Quibus ad se accersitis, rex ait: Quidnam est hoc quod facere voluistis, ut pueros servaretis?",False
Exodus 4.7,"Then God said, ""Put your hand back inside your cloak."" So he put his hand back inside his cloak, and when he took it out, behold, it was restored like the rest of his flesh.",Exodus 4.7,Vulgate,"Exodus 4.7 Retrahe, ait, manum tuam in sinum tuum. Retraxit, et protulit iterum, et erat similis carni reliquæ.",False
Exodus 4.25,"Then Zipporah took a flint and cut off her son's foreskin and touched Moses' feet with it and said, ""Surely you are a bridegroom of blood to me!""",Exodus 4.25,Vulgate,"Exodus 4.25 Tulit idcirco Sephora acutissimam petram, et circumcidit præputium filii sui, tetigitque pedes ejus, et ait: Sponsus sanguinum tu mihi es.",False
Exodus 5.6,"The same day Pharaoh commanded the taskmasters of the people and their foremen,",Exodus 5.6,Vulgate,"Exodus 5.6 Præcepit ergo in die illo præfectis operum et exactoribus populi, dicens:",False
Exodus 5.7,"""You shall no longer give the people straw to make bricks, as in the past; let them go and gather straw for themselves.",Exodus 5.7,Vulgate,"Exodus 5.7 Nequaquam ultra dabitis paleas populo ad conficiendos lateres, sicut prius: sed ipsi vadant, et colligant stipulas.",False
Exodus 5.16,"No straw is given to your servants, yet they say to us, 'Make bricks!' And behold, your servants are beaten; but the fault is in your own people.""",Exodus 5.16,Vulgate,"Exodus 5.16 paleæ non dantur nobis, et lateres similiter imperantur: en famuli tui flagellis cædimur, et injuste agitur contra populum tuum.",False
Exodus 6.10,"So the LORD said to Moses,",Exodus 6.10,Vulgate,"Exodus 6.10 Locutusque est Dominus ad Moysen, dicens:",False
Exodus 7.3,"But I will harden Pharaoh's heart, and though I multiply my signs and wonders in the land of Egypt,",Exodus 7.3,Vulgate,"Exodus 7.3 Sed ego indurabo cor ejus, et multiplicabo signa et ostenta mea in terra Ægypti,",False
Exodus 7.12,"For each man cast down his staff, and they became serpents. But Aaron's staff swallowed up their staffs.",Exodus 7.12,Vulgate,"Exodus 7.12 Projeceruntque singuli virgas suas, quæ versæ sunt in dracones: sed devoravit virga Aaron virgas eorum.",False
Exodus 7.23,"Pharaoh turned and went into his house, and he did not take even this to heart.",Exodus 7.23,Vulgate,"Exodus 7.23 Avertitque se, et ingressus est domum suam, nec apposuit cor etiam hac vice.",False
Exodus 8.2,"But if you refuse to let them go, behold, I will plague all your country with frogs.",Exodus 8.2,Vulgate,"Exodus 8.2 sin autem nolueris dimittere, ecce ego percutiam omnes terminos tuos ranis,",False
Exodus 9.32,"But the wheat and the emmer were not struck down, for they are late in coming up.)",Exodus 9.32,Vulgate,"Exodus 9.32 triticum autem et far non sunt læsa, quia serotina erant.",False
Exodus 9.35,"So the heart of Pharaoh was hardened, and he did not let the people of Israel go, just as the LORD had spoken through Moses.",Exodus 9.35,Vulgate,"Exodus 9.35 et ingravatum est cor ejus, et servorum illius, et induratum nimis: nec dimisit filios Israël, sicut præceperat Dominus per manum Moysi.",False
Exodus 10.5,"and they shall cover the face of the land, so that no one can see the land. And they shall eat what is left to you after the hail, and they shall eat every tree of yours that grows in the field,",Exodus 10.5,Vulgate,"Exodus 10.5 quæ operiat superficiem terræ, ne quidquam ejus appareat, sed comedatur quod residuum fuerit grandini: corrodet enim omnia ligna quæ germinant in agris.",False
Exodus 10.10,"But he said to them, ""The LORD be with you, if ever I let you and your little ones go! Look, you have some evil purpose in mind.",Exodus 10.10,Vulgate,"Exodus 10.10 Et respondit Pharao: Sic Dominus sit vobiscum, quomodo ego dimittam vos, et parvulos vestros, cui dubium est quod pessime cogitetis?",False
Exodus 10.14,"The locusts came up over all the land of Egypt and settled on the whole country of Egypt, such a dense swarm of locusts as had never been before, nor ever will be again.",Exodus 10.14,Vulgate,"Exodus 10.14 Quæ ascenderunt super universam terram Ægypti: et sederunt in cunctis finibus Ægyptiorum innumerabiles, quales ante illud tempus non fuerant, nec postea futuræ sunt.",False
Exodus 12.5,"Your lamb shall be without blemish, a male a year old. You may take it from the sheep or from the goats,",Exodus 12.5,Vulgate,"Exodus 12.5 Erit autem agnus absque macula, masculus, anniculus: juxta quem ritum tolletis et hædum.",False
Exodus 12.16,"On the first day you shall hold a holy assembly, and on the seventh day a holy assembly. No work shall be done on those days. But what everyone needs to eat, that alone may be prepared by you.",Exodus 12.16,Vulgate,"Exodus 12.16 Dies prima erit sancta atque solemnis, et dies septima eadem festivitate venerabilis: nihil operis facietis in eis, exceptis his, quæ ad vescendum pertinent.",False
Exodus 13.1,"The LORD said to Moses,",Exodus 13.1,Vulgate,"Exodus 13.1 Locutusque est Dominus ad Moysen, dicens:",False
Exodus 13.4,"Today, in the month of Abib, you are going out.",Exodus 13.4,Vulgate,Exodus 13.4 Hodie egredimini mense novarum frugum.,False
Exodus 14.1,"Then the LORD said to Moses,",Exodus 14.1,Vulgate,"Exodus 14.1 Locutus est autem Dominus ad Moysen, dicens:",False
Exodus 16.11,"And the LORD said to Moses,",Exodus 16.11,Vulgate,"Exodus 16.11 Locutus est autem Dominus ad Moysen, dicens:",False
Exodus 16.13,"In the evening quail came up and covered the camp, and in the morning dew lay around the camp.",Exodus 16.13,Vulgate,"Exodus 16.13 Factum est ergo vespere, et ascendens coturnix, cooperuit castra: mane quoque ros jacuit per circuitum castrorum.",False
Exodus 16.14,"And when the dew had gone up, there was on the face of the wilderness a fine, flake-like thing, fine as frost on the ground.",Exodus 16.14,Vulgate,"Exodus 16.14 Cumque operuisset superficiem terræ, apparuit in solitudine minutum, et quasi pilo tusum in similitudinem pruinæ super terram.",False
Exodus 20.14,"""You shall not commit adultery.",Exodus 20.14,Vulgate,Exodus 20.14 Non mœchaberis.,False
Exodus 20.15,"""You shall not steal.",Exodus 20.15,Vulgate,Exodus 20.15 Non furtum facies.,False
Exodus 22.19,"""Whoever lies with an animal shall be put to death.",Exodus 22.19,Vulgate,"Exodus 22.19 Qui coierit cum jumento, morte moriatur.",False
Exodus 25.1,"The LORD said to Moses,",Exodus 25.1,Vulgate,"Exodus 25.1 Locutusque est Dominus ad Moysen, dicens:",False
Exodus 25.18,"And you shall make two cherubim of gold; of hammered work shall you make them, on the two ends of the mercy seat.",Exodus 25.18,Vulgate,"Exodus 25.18 Duos quoque cherubim aureos et productiles facies, ex utraque parte oraculi.",False
Exodus 25.20,"The cherubim shall spread out their wings above, overshadowing the mercy seat with their wings, their faces one to another; toward the mercy seat shall the faces of the cherubim be.",Exodus 25.20,Vulgate,"Exodus 25.20 Utrumque latus propitiatorii tegant expandentes alas, et operientes oraculum, respiciantque se mutuo versis vultibus in propitiatorium quo operienda est arca,",False
Exodus 25.21,"And you shall put the mercy seat on the top of the ark, and in the ark you shall put the testimony that I shall give you.",Exodus 25.21,Vulgate,Exodus 25.21 in qua pones testimonium quod dabo tibi.,False
Exodus 25.26,"And you shall make for it four rings of gold, and fasten the rings to the four corners at its four legs.",Exodus 25.26,Vulgate,"Exodus 25.26 Quatuor quoque circulos aureos præparabis, et pones eis in quatuor angulis ejusdem mensæ per singulos pedes.",False
Exodus 25.27,"Close to the frame the rings shall lie, as holders for the poles to carry the table.",Exodus 25.27,Vulgate,"Exodus 25.27 Subter coronam erunt circuli aurei, ut mittantur vectes per eos, et possit mensa portari.",False
Exodus 25.35,and a calyx of one piece with it under each pair of the six branches going out from the lampstand.,Exodus 25.35,Vulgate,"Exodus 25.35 Sphærulæ sub duobus calamis per tria loca, qui simul sex fiunt procedentes de hastili uno.",False
Exodus 25.38,Its tongs and their trays shall be of pure gold.,Exodus 25.38,Vulgate,"Exodus 25.38 Emunctoria quoque, et ubi quæ emuncta sunt extinguantur, fiant de auro purissimo.",False
Exodus 25.39,"It shall be made, with all these utensils, out of a talent of pure gold.",Exodus 25.39,Vulgate,Exodus 25.39 Omne pondus candelabri cum universis vasis suis habebit talentum auri purissimi.,False
Exodus 26.1,"""Moreover, you shall make the tabernacle with ten curtains of fine twined linen and blue and purple and scarlet yarns; you shall make them with cherubim skillfully worked into them.",Exodus 26.1,Vulgate,"Exodus 26.1 Tabernaculum vero ita facies: decem cortinas de bysso retorta, et hyacintho, ac purpura, coccoque bis tincto, variatas opere plumario facies.",False
Exodus 26.3,"Five curtains shall be coupled to one another, and the other five curtains shall be coupled to one another.",Exodus 26.3,Vulgate,"Exodus 26.3 Quinque cortinæ sibi jungentur mutuo, et aliæ quinque nexu simili cohærebunt.",False
Exodus 26.4,And you shall make loops of blue on the edge of the outermost curtain in the first set. Likewise you shall make loops on the edge of the outermost curtain in the second set.,Exodus 26.4,Vulgate,"Exodus 26.4 Ansulas hyacinthinas in lateribus ac summitatibus facies cortinarum, ut possint invicem copulari.",False
Exodus 26.5,"Fifty loops you shall make on the one curtain, and fifty loops you shall make on the edge of the curtain that is in the second set; the loops shall be opposite one another.",Exodus 26.5,Vulgate,"Exodus 26.5 Quinquagenas ansulas cortina habebit in utraque parte, ita insertas ut ansa contra ansam veniat, et altera alteri possit aptari.",False
Exodus 26.7,"""You shall also make curtains of goats' hair for a tent over the tabernacle; eleven curtains shall you make.",Exodus 26.7,Vulgate,"Exodus 26.7 Facies et saga cilicina undecim, ad operiendum tectum tabernaculi.",False
Exodus 26.8,"The length of each curtain shall be thirty cubits, and the breadth of each curtain four cubits. The eleven curtains shall be the same size.",Exodus 26.8,Vulgate,"Exodus 26.8 Longitudo sagi unius habebit triginta cubitos, et latitudo, quatuor: æqua erit mensura sagorum omnium.",False
Exodus 26.10,"You shall make fifty loops on the edge of the curtain that is outermost in one set, and fifty loops on the edge of the curtain that is outermost in the second set.",Exodus 26.10,Vulgate,"Exodus 26.10 Facies et quinquaginta ansas in ora sagi unius, ut conjungi cum altero queat, et quinquaginta ansas in ora sagi alterius, ut cum altero copuletur.",False
Exodus 26.11,"""You shall make fifty clasps of bronze, and put the clasps into the loops, and couple the tent together that it may be a single whole.",Exodus 26.11,Vulgate,"Exodus 26.11 Facies et quinquaginta fibulas æneas quibus jungantur ansæ, ut unum ex omnibus operimentum fiat.",False
Exodus 26.12,"And the part that remains of the curtains of the tent, the half curtain that remains, shall hang over the back of the tabernacle.",Exodus 26.12,Vulgate,"Exodus 26.12 Quod autem superfuerit in sagis quæ parantur tecto, id est unum sagum quod amplius est, ex medietate ejus operies posteriora tabernaculi.",False
Exodus 26.14,And you shall make for the tent a covering of tanned rams' skins and a covering of goatskins on top.,Exodus 26.14,Vulgate,Exodus 26.14 Facies et operimentum aliud tecto de pellibus arietum rubricatis: et super hoc rursum aliud operimentum de janthinis pellibus.,False
Exodus 26.20,"and for the second side of the tabernacle, on the north side twenty frames,",Exodus 26.20,Vulgate,"Exodus 26.20 In latere quoque secundo tabernaculi quod vergit ad aquilonem, viginti tabulæ erunt,",False
Exodus 26.22,And for the rear of the tabernacle westward you shall make six frames.,Exodus 26.22,Vulgate,"Exodus 26.22 Ad occidentalem vero plagam tabernaculi facies sex tabulas,",False
Exodus 26.24,"they shall be separate beneath, but joined at the top, at the first ring. Thus shall it be with both of them; they shall form the two corners.",Exodus 26.24,Vulgate,"Exodus 26.24 Eruntque conjunctæ a deorsum usque sursum, et una omnes compago retinebit. Duabus quoque tabulis quæ in angulis ponendæ sunt, similis junctura servabitur.",False
Exodus 26.27,"and five bars for the frames of the other side of the tabernacle, and five bars for the frames of the side of the tabernacle at the rear westward.",Exodus 26.27,Vulgate,"Exodus 26.27 et quinque alios in altero, et ejusdem numeri ad occidentalem plagam:",False
Exodus 26.28,"The middle bar, halfway up the frames, shall run from end to end.",Exodus 26.28,Vulgate,Exodus 26.28 qui mittentur per medias tabulas a summo usque ad summum.,False
Exodus 26.31,"""And you shall make a veil of blue and purple and scarlet yarns and fine twined linen. It shall be made with cherubim skillfully worked into it.",Exodus 26.31,Vulgate,"Exodus 26.31 Facies et velum de hyacintho, et purpura, coccoque bis tincto, et bysso retorta, opere plumario et pulchra varietate contextum:",False
Exodus 27.4,"You shall also make for it a grating, a network of bronze, and on the net you shall make four bronze rings at its four corners.",Exodus 27.4,Vulgate,Exodus 27.4 Craticulamque in modum retis æneam: per cujus quatuor angulos erunt quatuor annuli ænei.,False
Exodus 27.14,"The hangings for the one side of the gate shall be fifteen cubits, with their three pillars and three bases.",Exodus 27.14,Vulgate,"Exodus 27.14 In quibus quindecim cubitorum tentoria lateri uno deputabuntur, columnæque tres et bases totidem:",False
Exodus 27.18,"The length of the court shall be a hundred cubits, the breadth fifty, and the height five cubits, with hangings of fine twined linen and bases of bronze.",Exodus 27.18,Vulgate,"Exodus 27.18 In longitudine occupabit atrium cubitos centum, in latitudine quinquaginta, altitudo quinque cubitorum erit: fietque de bysso retorta, et habebit bases æneas.",False
Exodus 28.14,"and two chains of pure gold, twisted like cords; and you shall attach the corded chains to the settings.",Exodus 28.14,Vulgate,"Exodus 28.14 et duas catenulas ex auro purissimo sibi invicem cohærentes, quas inseres uncinis.",False
Exodus 28.15,"""You shall make a breastpiece of judgment, in skilled work. In the style of the ephod you shall make it- of gold, blue and purple and scarlet yarns, and fine twined linen shall you make it.",Exodus 28.15,Vulgate,"Exodus 28.15 Rationale quoque judicii facies opere polymito juxta texturam superhumeralis, ex auro, hyacintho, et purpura, coccoque bis tincto, et bysso retorta.",False
Exodus 28.19,"and the third row a jacinth, an agate, and an amethyst;",Exodus 28.19,Vulgate,"Exodus 28.19 in tertio ligurius, achates, et amethystus:",False
Exodus 28.22,"You shall make for the breastpiece twisted chains like cords, of pure gold.",Exodus 28.22,Vulgate,"Exodus 28.22 Facies in rationali catenas sibi invicem cohærentes ex auro purissimo,",False
Exodus 28.23,"And you shall make for the breastpiece two rings of gold, and put the two rings on the two edges of the breastpiece.",Exodus 28.23,Vulgate,"Exodus 28.23 et duos annulos aureos, quos pones in utraque rationalis summitate:",False
Exodus 28.24,And you shall put the two cords of gold in the two rings at the edges of the breastpiece.,Exodus 28.24,Vulgate,"Exodus 28.24 catenasque aureas junges annulis, qui sunt in marginibus ejus,",False
Exodus 28.25,"The two ends of the two cords you shall attach to the two settings of filigree, and so attach it in front to the shoulder pieces of the ephod.",Exodus 28.25,Vulgate,Exodus 28.25 et ipsarum catenarum extrema duobus copulabis uncinis in utroque latere superhumeralis quod rationale respicit.,False
Exodus 28.27,"And you shall make two rings of gold, and attach them in front to the lower part of the two shoulder pieces of the ephod, at its seam above the skillfully woven band of the ephod.",Exodus 28.27,Vulgate,"Exodus 28.27 Necnon et alios duos annulos aureos, qui ponendi sunt in utroque latere superhumeralis deorsum, quod respicit contra faciem juncturæ inferioris, ut aptari possit cum superhumerali,",False
Exodus 28.28,"And they shall bind the breastpiece by its rings to the rings of the ephod with a lace of blue, so that it may lie on the skillfully woven band of the ephod, so that the breastpiece shall not come loose from the ephod.",Exodus 28.28,Vulgate,"Exodus 28.28 et stringatur rationale annulis suis cum annulis superhumeralis vitta hyacinthina, ut maneat junctura fabrefacta, et a se invicem rationale et superhumerale nequeant separari.",False
Exodus 28.31,"""You shall make the robe of the ephod all of blue.",Exodus 28.31,Vulgate,"Exodus 28.31 Facies et tunicam superhumeralis totam hyacinthinam,",False
Exodus 28.33,"On its hem you shall make pomegranates of blue and purple and scarlet yarns, around its hem, with bells of gold between them,",Exodus 28.33,Vulgate,"Exodus 28.33 Deorsum vero, ad pedes ejusdem tunicæ, per circuitum, quasi mala punica facies, ex hyacintho, et purpura, et cocco bis tincto, mistis in medio tintinnabulis,",False
Exodus 29.6,And you shall set the turban on his head and put the holy crown on the turban.,Exodus 29.6,Vulgate,"Exodus 29.6 Et pones tiaram in capite ejus, et laminam sanctam super tiaram,",False
Exodus 29.27,"And you shall consecrate the breast of the wave offering that is waved and the thigh of the priests' portion that is contributed from the ram of ordination, from what was Aaron's and his sons.",Exodus 29.27,Vulgate,"Exodus 29.27 Sanctificabisque et pectusculum consecratum, et armum quem de ariete separasti,",False
Exodus 29.33,"They shall eat those things with which atonement was made at their ordination and consecration, but an outsider shall not eat of them, because they are holy.",Exodus 29.33,Vulgate,"Exodus 29.33 ut sit placabile sacrificium, et sanctificentur offerentium manus. Alienigena non vescetur ex eis, quia sancti sunt.",False
Exodus 30.4,"And you shall make two golden rings for it. Under its molding on two opposite sides of it you shall make them, and they shall be holders for poles with which to carry it.",Exodus 30.4,Vulgate,"Exodus 30.4 et duos annulos aureos sub corona per singula latera, ut mittantur in eos vectes, et altare portetur.",False
Exodus 30.8,"and when Aaron sets up the lamps at twilight, he shall burn it, a regular incense offering before the LORD throughout your generations.",Exodus 30.8,Vulgate,"Exodus 30.8 et quando collocabit eas ad vesperum, uret thymiama sempiternum coram Domino in generationes vestras.",False
Exodus 30.11,"The LORD said to Moses,",Exodus 30.11,Vulgate,"Exodus 30.11 Locutusque est Dominus ad Moysen, dicens:",False
Exodus 30.15,"The rich shall not give more, and the poor shall not give less, than the half shekel, when you give the LORD's offering to make atonement for your lives.",Exodus 30.15,Vulgate,"Exodus 30.15 Dives non addet ad medium sicli, et pauper nihil minuet.",False
Exodus 30.17,"The LORD said to Moses,",Exodus 30.17,Vulgate,"Exodus 30.17 Locutusque est Dominus ad Moysen, dicens:",False
Exodus 30.22,"The LORD said to Moses,",Exodus 30.22,Vulgate,"Exodus 30.22 Locutusque est Dominus ad Moysen,",False
Exodus 30.26,"With it you shall anoint the tent of meeting and the ark of the testimony,",Exodus 30.26,Vulgate,"Exodus 30.26 et unges ex eo tabernaculum testimonii, et arcam testamenti,",False
Exodus 30.28,and the altar of burnt offering with all its utensils and the basin and its stand.,Exodus 30.28,Vulgate,"Exodus 30.28 et holocausti, et universam supellectilem quæ ad cultum eorum pertinet.",False
Exodus 31.1,"The LORD said to Moses,",Exodus 31.1,Vulgate,"Exodus 31.1 Locutusque est Dominus ad Moysen, dicens:",False
Exodus 31.5,"in cutting stones for setting, and in carving wood, to work in every craft.",Exodus 31.5,Vulgate,"Exodus 31.5 marmore, et gemmis, et diversitate lignorum.",False
Exodus 31.12,"And the LORD said to Moses,",Exodus 31.12,Vulgate,"Exodus 31.12 Et locutus est Dominus ad Moysen, dicens:",False
Exodus 32.3,So all the people took off the rings of gold that were in their ears and brought them to Aaron.,Exodus 32.3,Vulgate,"Exodus 32.3 Fecitque populus quæ jusserat, deferens inaures ad Aaron.",False
Exodus 32.19,"And as soon as he came near the camp and saw the calf and the dancing, Moses' anger burned hot, and he threw the tablets out of his hands and broke them at the foot of the mountain.",Exodus 32.19,Vulgate,"Exodus 32.19 Cumque appropinquasset ad castra, vidit vitulum, et choros: iratusque valde, projecit de manu tabulas, et confregit eas ad radicem montis:",False
Exodus 32.25,"And when Moses saw that the people had broken loose (for Aaron had let them break loose, to the derision of their enemies),",Exodus 32.25,Vulgate,"Exodus 32.25 Videns ergo Moyses populum quod esset nudatus (spoliaverat enim eum Aaron propter ignominiam sordis, et inter hostes nudum constituerat),",False
Exodus 34.17,"""You shall not make for yourself any gods of cast metal.",Exodus 34.17,Vulgate,Exodus 34.17 Deos conflatiles non facies tibi.,False
Exodus 34.27,"And the LORD said to Moses, ""Write these words, for in accordance with these words I have made a covenant with you and with Israel.""",Exodus 34.27,Vulgate,"Exodus 34.27 Dixitque Dominus ad Moysen: Scribe tibi verba hæc, quibus et tecum et cum Israël pepigi fœdus.",False
Exodus 34.35,"the people of Israel would see the face of Moses, that the skin of Moses' face was shining. And Moses would put the veil over his face again, until he went in to speak with him.",Exodus 34.35,Vulgate,"Exodus 34.35 Qui videbant faciem egredientis Moysi esse cornutam, sed operiebat ille rursus faciem suam, siquando loquebatur ad eos.",False
Exodus 35.9,"and onyx stones and stones for setting, for the ephod and for the breastpiece.",Exodus 35.9,Vulgate,"Exodus 35.9 lapides onychinos, et gemmas ad ornatum superhumeralis et rationalis.",False
Exodus 35.13,"the table with its poles and all its utensils, and the bread of the Presence;",Exodus 35.13,Vulgate,"Exodus 35.13 mensam cum vectibus et vasis, et propositionis panibus:",False
Exodus 35.15,"and the altar of incense, with its poles, and the anointing oil and the fragrant incense, and the screen for the door, at the door of the tabernacle;",Exodus 35.15,Vulgate,"Exodus 35.15 altare thymiamatis, et vectes, et oleum unctionis et thymiama ex aromatibus: tentorium ad ostium tabernaculi:",False
Exodus 35.16,"the altar of burnt offering, with its grating of bronze, its poles, and all its utensils, the basin and its stand;",Exodus 35.16,Vulgate,"Exodus 35.16 altare holocausti, et craticulam ejus æneam cum vectibus et vasis suis: labrum et basim ejus:",False
Exodus 35.17,"the hangings of the court, its pillars and its bases, and the screen for the gate of the court;",Exodus 35.17,Vulgate,"Exodus 35.17 cortinas atrii cum columnis et basibus, tentorium in foribus vestibuli,",False
