Phrase,Citations,Outliers,Text
Heb. 2. 1.; Nehem 9. • 7.,Hebrews 2.1; Nehemiah 9,['Nehemiah 9.• 7'],Heb. 2. 1. Nehem 9. • … 7.
Phil. 4. 13.; Luk. 1. 74.; Rom. 7. 22.; Psal. 110. 3.; Mic. 4. 2.; Rom. 5 5. ◊; Cor. 3. • 7.; 2. Tim. 1. 7.; Ioh. 13. 34.; Iam. 1. 25.; Matth. 11. 30. 1.; 1. Ioh. 5. ◊,Philippians 4.13; Luke 1.74; Romans 7.22; Psalms 110.3; Micah 4.2; Romans 5.5; Corinthians 3; 2 Timothy 1.7; John 13.34; James 1.25; Matthew 11.30; Matthew 11.1; 1 John 5,['Corinthians 3.• 7']; ['1 John 5.◊'],Phil. 4. 13. Luk. 1. 74. Rom. 7. 22. Psal. 110. 3. Mic. 4. 2. Rom. 5 5. 〈 ◊ 〉 Cor. 3. • … 7. 2. Tim. 1. 7. Ioh. 13. 34. Iam. 1. 25. Matth. 11. 30. 1. Ioh. 5. 〈 ◊ 〉.
"Gal. 1. 13.; Act. 17. 5, 6.; Act. 19. 28, 29 • 4.; Act. 22. 22, 23.",Galatians 1.13; Acts 17.5; Acts 17.6; Acts 19.28; Acts 22.22; Acts 22.23,['Acts 19.•'],"Gen. 4• …. • … 7. Act. • …. 3. & 22. 4. & 26. 10, 11. Gal. 1. 13. Act. 17. 5, 6. Act. 19. 28, 29 • … 4. Act. 22. 22, 23."
"Gen. 49. 6, •",Genesis 49.6,['Genesis 49.•'],"Gen. 49. 6, • …."
Psal. 68. 18.; 2. Cor. 10. 5.; Psal. 119. 128.; Act. 3. 2•,Psalms 68.18; 2 Corinthians 10.5; Psalms 119.128; Acts 3,['Acts 3.2•'],Psal. 68. 18. 2. Cor. 10. 5. Psal. 119. 128. Act. 3. 2• ….
"Iob 14. 4; Gen. 6. 5. & 8. 21.; Ioh. 3. 6; Psal. 51. 5.; Rom. 5. 12,; Ephes. 2. 3; Rom. 3. 23.; Gal. 3. 2•; 1. Cor. 15. 18. 19. 49.; 1. Thes. 2 &",Job 14.4; Genesis 6.5; Genesis 8.21; John 3.6; Psalms 51.5; Romans 5.12; Ephesians 2.3; Romans 3.23; Galatians 3; 1 Corinthians 15.18; 1 Corinthians 15.19; 1 Corinthians 15.49; 1 Thessalonians 2,['Galatians 3.2•'],"Iob 14. 4 Gen. 6. 5. & 8. 21. Ioh. 3. 6 Psal. 51. 5. Rom. 5. 12, Ephes. 2. 3 Rom. 3. 23. Gal. 3. 2• …. 1. Cor. 15. 18. 19. 49. Vid. Gerard. Voss. Hist. Pelag. l. 2 part. 1. Thes. 2 & Bellar ▪ de stat• … peccati. l. 5. c. 4."
Ibid. cap. 7. ◊,Ibidem 7,['Ibidem 7.◊'],"Lex prima cessabat primosoedere per inobedientiam primi hominis rupto, cessabat etiam obligatio ad obedientiam ed lege praescriptam. Lex aut ad obedientiam obligat, aut ad poenam; cum ita { que } homo jaceret sub maledictione ad obedientiam ampl• … s non obligabatur, quia ab eo coli amplius Deus non vol• … bat. Corv. contra Molin. cap. 8. ad §. 8. pag. 122. Remonstrantes negant actus illos qui sequuntur privationem divinam esse formaliter peccata, non negant quidem mate• … aliter peccata dici posse, qua• … nus Actus sunt difformes voluntati divinae, at negant cosformaliter esse peccata quaescil. ad p• … nam valide obligent eos à quibus fiunt, &c. In Apolog. seu Exam Censur. cap. 7. fol. 86. • … Ibid. fol. 83. b. Si Deus mortem temporalem comminatus fuisset Adamo, eius { que } posteris, necesse fuisset Adamum eius { que } posteros ex morte ista iterum resurgere, & postea in 〈 ◊ 〉 cruciatus praecipitari: De quo sane Scriptura ne quidem meminit. De ijs qui Evangelium & apertam vitae aeternae promissionem respuunt ac reijciu• … t ita loquitur Scriptura, de Adamo eius { que } poster is nec volam habet nec vestigium. Deus non omnibus peccatis, id est, peccatoribus, adsignavit • … ternam poenam sensus & damni. Ibid. cap. 7. 〈 ◊ 〉. 90."
"1. Ioh. 3. 4.; Rom. 7 23.; Gal. 5. 17.; Rom. 6. 23.; Ephes. 2. 3.; Rom. 7. 13.; Gen. 1. 3•; Rom 7 15.; Prov 7. 11-21.; Matth. 15. 19.; Iam. 1. 14.; Iam. 3. 15. 1.; 1. Ioh. 3. 8.; Iam. 3. 6.; Ioh. 8. 44.; 1. Pet. 2. 24; Gal 5 24.; Rom. 6 5. 6.; Act. 2. 38.; Col. 2. 11, 12.",1 John 3.4; Romans 7.23; Galatians 5.17; Romans 6.23; Ephesians 2.3; Romans 7.13; Genesis 1; Romans 7.15; Proverbs 7.11; Proverbs 7.12; Proverbs 7.13; Proverbs 7.14; Proverbs 7.15; Proverbs 7.16; Proverbs 7.17; Proverbs 7.18; Proverbs 7.19; Proverbs 7.20; Proverbs 7.21; Matthew 15.19; James 1.14; James 3.15; James 3.1; 1 John 3.8; James 3.6; John 8.44; 1 Peter 2.24; Galatians 5.24; Romans 6.5; Acts 2.38; Colossians 2.11; Colossians 2.12,['Genesis 1.3•'],"Peccatum car• … s & vere peccatum. Fulg. de grat. Christ c. 15. Vid. Aug. de peccat. mer. & remiss. lib. 2. c. 4. de nupt. & concupis. lib. 2. cap. 24. contr. Iul. lib. 2. c. 3. 4. 5. & lib. 4 c. 2. lib. 5. c. 3. 7. lib. 6. c. 15. 19. Vide Staplet. de Iustis l. 2. c 14. 1. Ioh. 3. 4. Rom. 7 23. Gal. 5. 17. Rom. 6. 23. Ephes. 2. 3. Rom. 7. 13. Eccles. Gen. 1. 3• …. Rom 7 ▪ 15. Prov 7. 11-21. Rom. 7 18-21. Matth. 15. 19. Iam. 1. 14. Iam. 3. 15. 1. Ioh. 3. 8. Iam. 3. 6. Ioh. 8. 44. Aug. Tract. 49. in Iohan. Quando libido vincit, vincit & diabolus. Id. contr. Iul. lib. 5. cap. 7. 1. Pet. 2. 24 ▪ Gal 5 24. Rom. 6 5. 6. Act. 2. 38. Col. 2. 11, 12."
"Prov. 6. 20, 2•",Proverbs 6.20,['Proverbs 6.2•'],"Prov. 6. 20, 2• …."
Ioh. 15. 8.; Ioh 17. 4.; 1. Cor. 10. 31.; 1. Cor. 10. 3•; Col. 1. 24.; 2. Tim. 2. 10.; 2. Cor. 1. 6.,John 15.8; John 17.4; 1 Corinthians 10.31; 1 Corinthians 10; Colossians 1.24; 2 Timothy 2.10; 2 Corinthians 1.6,['1 Corinthians 10.3•'],"First, the glory of God, we must bring forth fruit, and finish our workes, and doe all that we have to doe with respect unto his glory, Ioh. 15. 8. Ioh 17. 4. 1. Cor. 10. 31. Secondly, the Edification, Service, comfort of the Church, that nothing redound to their offence, but to their profit and salvation, 1. Cor. 10. 3• …, 33. Col. 1. 24. 2. Tim. 2. 10. 2. Cor. 1. 6."
2. King. 10. 3•,2 Kings 10,['2 Kings 10.3•'],2. King. 10. 3• ….
Heb. 12. 2•; Esal. 33. 14.,Hebrews 12; Isaiah 33.14,['Hebrews 12.2•'],Heb. 12. 2• …. Esal. 33. 14.
Revel 2. • 1.; 2. Pet. 3. ◊,Revelation 2; 2 Peter 3,['Revelation 2.• 1']; ['2 Peter 3.◊'],Revel 2. • … 1. 2. Pet. 3. 〈 ◊ 〉
Gen. 8. • 1.,Genesis 8,['Genesis 8.• 1'],Gen. 8. • … 1.
Esai. 54. 1.; Rom. 7. 4•; Ephes. 5. 27.; Heb. 6. 6.; Luk. 2. 32.; Ioh. 1. 9.; Numb. 24. 17.; Mal. 4. 2.; Rom. 8. 16.,Isaiah 54.1; Romans 7; Ephesians 5.27; Hebrews 6.6; Luke 2.32; John 1.9; Numbers 24.17; Malachi 4.2; Romans 8.16,['Romans 7.4•'],Esai. 54. 1. Rom. 7. 4• …. Ephes. 5. 27. Heb. 6. 6. Luk. 2. 32. Ioh. 1. 9. Numb. 24. 17. Mal. 4. 2. Non sumus certi Testimonium illud non esse à Diabolo. Cornel. a Lapide in Rom. 8. 16.
Mark. 10. • 0.,Mark 10,['Mark 10.•'],Mark. 10. • … 0.
Esai. 9. • 1.,Isaiah 9,['Isaiah 9.• 1'],Esai. 9. • … 1.
Rom. 2. • 5,Romans 2,['Romans 2.• 5'],Rom. 2. • … 5 ▪
2. Thess. 3. 3•,2 Thessalonians 3,['2 Thessalonians 3.3•'],2. Thess. 3. 3• ….
1. Ioh. 4. ◊,1 John 4,['1 John 4.◊'],1. Ioh. 4. 〈 ◊ 〉.
Luk 22. • 2.; 2. Ioh. 7. 15.,Luke 22; 2 John 7.15,['Luke 22.• 2'],Luk 22. • … 2. Ioh. 7. 15.
Ioh. 1. 1•,John 1,['John 1.1•'],Ioh. 1. 1• ….
Heb. 7. • 5.,Hebrews 7,['Hebrews 7.• 5'],Heb. 7. • … 5.
2. Cor. 1. • 1.,2 Corinthians 1,['2 Corinthians 1.• 1'],2. Cor. 1. • … 1.
Act. 15. 9.; Mic. 7. 1•,Acts 15.9; Micah 7,['Micah 7.1•'],Act. 15. 9. Mic. 7. 1• ….
Eph 4. 30.; Rom 8. • 3.,Ephesians 4.30; Romans 8,['Romans 8.• 3'],Eph 4. 30. Rom 8. • … 3.
Act. 17. 31.; Luk. 20. • 6.; Luk. 14. 14.,Acts 17.31; Luke 20; Luke 14.14,['Luke 20.• 6'],Act. 17. 31. Luk. 20. • … 6. Luk. 14. 14.
Heb. 9. 14.; Col. 3. 5.; Gal. 5. 24.; Ioh. 16. 11.; Luk. 11. 21. 1.; 1. Ioh. 3. •,Hebrews 9.14; Colossians 3.5; Galatians 5.24; John 16.11; Luke 11.21; Luke 11.1; 1 John 3,['1 John 3.•'],Heb. 9. 14. Col. 3. 5. Gal. 5. 24. Ioh. 16. 11. Luk. 11. 21. 1. Ioh. 3. • ….
Heb. 9. • 6.,Hebrews 9,['Hebrews 9.• 6'],Heb. 9. • … 6.
2 Reg 5 1•,2 Kings 5,['2 Kings 5 1•'],2 Reg 5 1•
Num. 2•. 11. & 24.10.,Numbers 24.10,['Numbers 2•.11'],Num. 2•. 11. & 24.10.
Gal. 4. 28-3•,Galatians 4.28,"['Galatians 4.28-3•', 'Galatians 4.3•']",Gal. 4. 28-3• ▪
Act. 10 1• 15.,Acts 10,['Acts 10 1• 15'],Act. 10 1• 15.
1. Cor. 6. 1•,1 Corinthians 6,['1 Corinthians 6.1•'],1. Cor. 6. 1• ▪
Numb. 22. 1•,Numbers 22,['Numbers 22.1•'],Numb. 22. 1•
2. Sam. 23. 3•,2 Samuel 23,['2 Samuel 23.3•'],2. Sam. 23. 3•
Luk. 12. 3•.,Luke 12,['Luke 12.3•'],Luk. 12. 3•.
Luk. 18. 1•.,Luke 18,['Luke 18.1•'],Luk. 18. 1•.
Psal. 31. 2•.,Psalms 31,['Psalms 31.2•'],"Wherefore David directeth his speech to Saints, as hoping amongst them the exhortation might have place, Psal. 31. 2•. Reasons make it plain."
Matth. 26. 7•.,Matthew 26,['Matthew 26.7•'],Matth. 26. 7•.
1 Thes. 1. •.,1 Thessalonians 1,['1 Thessalonians 1.•'],1 Thes. 1. •.
2 Cor. 13. 1•.,2 Corinthians 13,['2 Corinthians 13.1•'],2 Cor. 13. 1•.
Amos 5. 13.; Pro. 15. 1•,Amos 5.13; Proverbs 15,['Proverbs 15.1•'],Amos 5. 13. Pro. 15. 1•
"Jer. 48, 2•",Jeremiah 48,['Jeremiah 2•'],"Jer. 48, 2•"
Apoc. 17. 1•.,Revelation 17,['Revelation 17.1•'],Apoc. 17. 1•.
Titus. 3. •.,Titus 3,['Titus 3.•'],"and this is the state of all that have not this judgement in them, that have not the word of God written in their hearts bowing and bending them by the Spirit of God to spirituall obedience, to proove this J will name but one place among many, Titus. 3. •. hee shewes the state of all men, that are not brought into subjection by this judgement, by the Word and Spirit of truth."
Psal. 110. •.,Psalms 110,['Psalms 110.•'],Psal. 110. •.
Mica. 6. •.,Micah 6,['Micah 6.•'],Mica. 6. •.
Luk. 13. • 3.,Luke 13,['Luke 13.• 3'],Luk. 13. • 3.
2 Cor. 12. 1•.,2 Corinthians 12,['2 Corinthians 12.1•'],2 Cor. 12. 1•.
1 Cor. 5. 2•.,1 Corinthians 5,['1 Corinthians 5.2•'],1 Cor. 5. 2•.
Phil. 3. 2•.,Philippians 3,['Philippians 3.2•'],Phil. 3. 2•.
Hag. 1. •.,Haggai 1,['Haggai 1.•'],Hag. 1. •.
Neh. 6. 1•.,Nehemiah 6,['Nehemiah 6.1•'],Neh. 6. 1•.
2. Cor. 5. 2•.,2 Corinthians 5,['2 Corinthians 5.2•'],2. Cor. 5. 2•.
Mat. 11. 2•.,Matthew 11,['Matthew 11.2•'],Mat. 11. 2•.
Isa. 9. •.,Isaiah 9,['Isaiah 9.•'],"He is the chiefest of ten thousand, such a King as carries the government upon his owne shoulders, as it is Isa. 9. •."
1 Cor. 3. 2•.,1 Corinthians 3,['1 Corinthians 3.2•'],1 Cor. 3. 2•.
"CANT. V. X, XI, XII, XIII.",Canticles 13,"['Canticles x', 'Canticles xi', 'Canticles xii']","The end of the fifteenth Sermon. THE SIXTEENTH SERMON. SER. XVI. CANT. V. X, XI, XII, XIII."
Psal. 44. •.,Psalms 44,['Psalms 44.•'],"And not onely to justifie, but likewise to glory therein, as you have it, Psal. 44. •. the Church there boasts of God, I will make my boast of thee all the day long."
Eph. 3. 1•.,Ephesians 3,['Ephesians 3.1•'],"Therefore the Apostle wisheth that they might know all the demensions of Gods love in Christ, there is a height, Eph. 3. 1•. breadth, length, and depth of the love of God."
1 Ioh 2. •.,1 John 2,['1 John 2.•'],1 Ioh 2. •.
Phil 4. •.,Philippians 4,['Philippians 4.•'],Phil 4. •.
Hosea 14. ◊,Hosea 14,['Hosea 14.◊'],Hosea 14. 〈 ◊ 〉.
Isa. 50. • 1.,Isaiah 50,['Isaiah 50.• 1'],Isa. 50. • … 1.
1 Cor. 15. ◊,1 Corinthians 15,['1 Corinthians 15.◊'],1 Cor. 15. 〈 ◊ 〉
1 Iohn 3. 1•,1 John 3,['1 John 3.1•'],1 Iohn 3. 1• ….
1 Chron. 29. 1•,1 Chronicles 29,['1 Chronicles 29.1•'],1 Chron. 29. 1• ….
Psal. 61. ◊,Psalms 61,['Psalms 61.◊'],Psal. 61. 〈 ◊ 〉.
Phil. 2. ◊,Philippians 2,['Philippians 2.◊'],Phil. 2. 〈 ◊ 〉
Luke 10. 4•,Luke 10,['Luke 10.4•'],Luke 10. 4•
Heb. 13 •.,Hebrews 13,['Hebrews 13 •'],Heb. 13 •.
Micah 2. ◊ ◊,Micah 2,['Micah 2.◊ ◊'],"We may say of all earthly things, as 〈 ◊ 〉 hath this sentence of them, Micah 2. 〈 ◊ 〉 〈 ◊ 〉 hence, here is not your rest so we may say to the soule concerning ri• … hes, and honours, and friends, here is 〈 ◊ 〉 yours rest."
Rom. 8. •. 9.,Romans 8,['Romans 8.•.9'],"Thirdly, it is long agoe decreed of God, and predestinated: and therefore cannot bee avoyded. Rom. 8. •. 9. Whom hee did fore-know, them he predestinated to be conformed to the Image of his Sonne."
Isa. 1. 1•.,Isaiah 1,['Isaiah 1.1•'],Isa. 1. 1•.
Mat. 11. 2•.,Matthew 11,['Matthew 11.2•'],Mat. 11. 2•.
Jer. 8. •.,Jeremiah 8,['Jeremiah 8.•'],Jer. 8. •.
Ps. 2. •.,Psalms 2,['Psalms 2.•'],Ps. 2. •.
Psal. 46. 2•4.,Psalms 46,['Psalms 46.2•4'],Psal. 46. 2•4.
1. king. 21. 27.; Math. 27. ◊,1 Kings 21.27; Matthew 27,['Matthew 27.◊'],1. king. 21. 27. Math. 27. 〈 ◊ 〉.
Act. 21. 1•.,Acts 21,['Acts 21.1•'],Act. 21. 1•.
Act 8. 3•.,Acts 8,['Acts 8.3•'],Act 8. 3•.
1 Sam. 28 1•.,1 Samuel 28,['1 Samuel 28 1•'],1 Sam. 28 1•.
Ioh. 18. 38•,John 18,['John 18.38•'],"but when he was before Pilate Ioh. 18. 38• Pilate asked him, if hee were a King;"
Nehem. 8. 1•.,Nehemiah 8,['Nehemiah 8.1•'],"and if it be a good thing to speake of Christ and of the Word when we be about our labors and businesse, then it is much better to talke of the Word when we come from a Sermon, and from hearing the Word preached on the Sabbath day, or at other times. Nehem. 8. 1•."
Prouerb. 20. •.,Proverbs 20,['Proverbs 20.•'],Prouerb. 20. •.
Prouer. 22. •.,Proverbs 22,['Proverbs 22.•'],Prouer. 22. •.
Luke 1. 5•.,Luke 1,['Luke 1.5•'],Luke 1. 5•.
1 Cor. 4. 5•,1 Corinthians 4,['1 Corinthians 4.5•'],1 Cor. 4. 5•
Deu. 32. 1•,Deuteronomy 32,['Deuteronomy 32.1•'],Deu. 32. 1•
1 Pet. 2. 2•,1 Peter 2,['1 Peter 2.2•'],1 Pet. 2. 2•
Dan. 2. 4•.,Daniel 2,['Daniel 2.4•'],Dan. 2. 4•.
Mat. 10.16.; Luk. 21 1•,Matthew 10.16; Luke 21,['Luke 21 1•'],Mat. 10.16. Luk. 21 ▪ 1•
Reu. 13. •.,Revelation 13,['Revelation 13.•'],Reu. 13. •.
Reu. 1. •.,Revelation 1,['Revelation 1.•'],Reu. 1. •.
"1. Cor. 9.20, 2•, 22.",1 Corinthians 9.20; 1 Corinthians 9.22,['1 Corinthians 9.2•'],"1. Cor. 9.20, 2•, 22."
Col. 2 •.,Colossians 2,['Colossians 2 •'],Col. 2 •.
"Hab. 1. •.; nu. 16, 17, & 25.",Habakkuk 1; Numbers 16; Numbers 17,['Habakkuk 1.•'],"Hooker in Hab. 1. •. nu. 16, 17, & 25."
Rom. 4. •. 56.,Romans 4,['Romans 4.•.56'],Bell. de Pont. Rom. 4. •. 56. Ioh. de Turrier lib. 2. •. 109. &. 110.
Psal. 45. •.,Psalms 45,['Psalms 45.•'],"Againe, the Pope is Dei charismatum Dispensator, the dispencer of Gods grace: the Pope Virgam directionis, the Scepter of righteousnesse mentioned Psal. 45. •."
1 Reg. 24. 4•,1 Kings 24,['1 Kings 24.4•'],1 Reg. 24. 4•
2 Kin. 21. 1•.,2 Kings 21,['2 Kings 21.1•'],See the 2 Kin. 21. 1•.
Act 17. 2•.,Acts 17,['Acts 17.2•'],Act 17. 2•.
Cant 4. •.,Canticles 4,['Canticles 4.•'],Cant 4. •.
Prou. 28. 1•.,Proverbs 28,['Proverbs 28.1•'],"Prou. 28. 1•. Anselm. Si bonus nutritor tuus, si malus tentator tuus."
Rom. 1 ◊,Romans 1,['Romans 1 ◊'],"as the glory of God shareth in all the workes of the Creation, Rom. 1 〈 ◊ 〉 The Heavens declare his glory, and the Earth show his handy workes:"
"Romans, 7. ◊",Romans 7,['Romans 7.◊'],"and never was this through search and serious sorrow sent away e•••y, Romans, 7. 〈 ◊ 〉."
Psal. 145. 15.; Psal. 147. •.,Psalms 145.15; Psalms 147,['Psalms 147.•'],"Psal. 145. 15. [ The eyes of all things waite on thee, and thou givest them food in due season: ] and Psal. 147. •. [ The young Ravens cry to him for food, and hee feedeth them."
Numb. 10. •.,Numbers 10,['Numbers 10.•'],Numb. 10. •.
Luke 2. 2•.,Luke 2,['Luke 2.2•'],"Luke 2. 2•. ,"
1 Sam. 10. 1•,1 Samuel 10,['1 Samuel 10.1•'],1 Sam. 10. 1•
2 Cor. 5. ◊,2 Corinthians 5,['2 Corinthians 5.◊'],2 Cor. 5. 〈 ◊ 〉.
Rom. 5. • 1.,Romans 5,['Romans 5.• 1'],1. Sin will be made more odious. Rom. 5. • … 1.
Zach. 1. • 1.,Zechariah 1,['Zechariah 1.• 1'],In the words a double description. 1 Zach. 1. • … 1.
Psal. 90. ◊,Psalms 90,['Psalms 90.◊'],Psal. 90. 〈 ◊ 〉.
2 Chron. 33. 1• :,2 Chronicles 33,['2 Chronicles 33.1•'],2 Chron. 33. 1• …:
Phil. 1. • 3.,Philippians 1,['Philippians 1.• 3'],Phil. 1. • … 3.
1 Cor. 15. 3•,1 Corinthians 15,['1 Corinthians 15.3•'],1 Cor. 15. 3• ….
Math. 22. • 9,Matthew 22,['Matthew 22.• 9'],Math. 22. • … 9
Luk. 20. 3•,Luke 20,['Luke 20.3•'],"Luk. 20. 3• …, 36."
Psal. 146. 3•; Psal. 62. 3•,Psalms 146; Psalms 62,['Psalms 146.3•']; ['Psalms 62.3•'],Psal. 146. 3• … Psal. 62. 3• …
Iob. 14. 1•,Job 14,['Job 14.1•'],Iob. 14. 1• …
Apoc. 14. • 3.,Revelation 14,['Revelation 14.• 3'],Apoc. 14. • … 3.
Apoc. 1. • 8.,Revelation 1,['Revelation 1.• 8'],Apoc. 1. • … 8.
Apoc. c. 14. ◊,Revelation 14,['Revelation 14.◊'],"Melo in Apoc. c. 14. 〈 ◊ 〉 vocem non corporalem neque a foris st• … pentem, sed intus firmat ā per Ange• … um qui totam e• … Apocalyp• … in Christo juben• … e revelavit."
1. Pet. 1. ◊,1 Peter 1,['1 Peter 1.◊'],1. Pet. 1. 〈 ◊ 〉.
Esay 58. •,Isaiah 58,['Isaiah 58.•'],Esay 58. •
"Mat. 25.34, 3•, 36",Matthew 25.34; Matthew 25.36,['Matthew 25.3•'],"Mat. 25.34, 3•, 36"
2 Cor 9.9; Esa. 58. 1•,2 Corinthians 9.9; Isaiah 58,['Isaiah 58.1•'],2 Cor 9.9 Esa. 58. 1•
Iob 30. 2•,Job 30,['Job 30.2•'],Iob 30. 2•
Iudg 4 •,Judges 4,['Judges 4 •'],Iudg 4 •
1. Pet. 2. 2•.,1 Peter 2,['1 Peter 2.2•'],1. Pet. 2. 2•.
Zach. 14. •.,Zechariah 14,['Zechariah 14.•'],Zach. 14. •. •1.
Reuel. 11. •,Revelation 11,['Revelation 11.•'],Reuel. 11. • •1. 15. The•• l•nes were ••lled •hacte •idda suu• mensores.
Act. 23. •.,Acts 23,['Acts 23.•'],Act. 23. •.
Phil. 1. 1•.,Philippians 1,['Philippians 1.1•'],Phil. 1. 1•.
Deut. 17. 1•.,Deuteronomy 17,['Deuteronomy 17.1•'],Deut. 17. 1•.
Exod. 16. 1•.,Exodus 16,['Exodus 16.1•'],Exod. 16. 1•.
"Isa. 5•, 10, 11.",Isaiah 10; Isaiah 11,['Isaiah 5•'],"Isa. 5•, 10, 11."
2 Pet. 1. 1•.,2 Peter 1,['2 Peter 1.1•'],2 Pet. 1. 1•.
2 Tim. 1. 1•,2 Timothy 1,['2 Timothy 1.1•'],2 Tim. 1. 1•
Ephes 1. 1•. 1; 1 Iohn 3.2.; Heb. 20.23.; Col 3.3.,Ephesians 1; 1 John 3.2; Hebrews 20.23; Colossians 3.3,['Ephesians 1.1•.1'],Ephes 1. 1•. 1 Iohn 3.2. Heb. 20.23. Col 3.3.
Iohn 15. •.,John 15,['John 15.•'],Iohn 15. •.
Act. 17. •.,Acts 17,['Acts 17.•'],"A good Pastor, hath the 〈 ◊ 〉 of edificati•n. Act. 17. •."
Psalme. 2. •.,Psalms 2,['Psalms 2.•'],Psalme. 2. •.
Epist 40 ◊,Epistle 40,['Epistle 40 ◊'],C•pr. Epist 40 〈 ◊ 〉 plebem de quinque Presbyter. Schismaticis factionis foelicissimi.
Psal. 83. ◊ 3. &,Psalms 83,['Psalms 83.◊ 3.'],Looke into Psal. 83. 〈 ◊ 〉 3. & seq. and you shall finde a full proofe of this.
Psal. 5.3. & 82 5.8.,Psalms 5.3,['Psalms 82 5.8'],"Thirdly Christ who was promised to become the seed of the woman for mans redemption, b•ing the eternall wisdome and mighty word of God, and able to beare vp the pallace of the earth, when it and all the whole tents thereof were disolued, and the first foundations thereof were out of course, as the Psalmist speakes Psal. 5.3. & 82 5.8."
Rom. 12. •. &; Heb. 13.15.,Romans 12; Hebrews 13.15,['Romans 12.•.'],"But with a spirituall woshippe and seruice, such as is most agreable to the word of the Gospell, as Saint Paul shewes Rom. 12. •. and our sacrifices are not of bruite beasts, but our owne bodies deuoted to the obedience of Christ, and sacrifices of thankes and praise which are the calfes of our lipps Heb. 13.15."
Isa. 66. •.,Isaiah 66,['Isaiah 66.•'],Isa. 66. •.
Ephe 2.1. & 4 18.19.,Ephesians 2.1,['Ephesians 4 18.19'],Ephe 2.1. and 4 18.19.
1 Pet 2 25. & 5. •; Mat. 25. 41.,1 Peter 2.25; Matthew 25.41,['1 Peter 2.5.•'],1 Pet 2 25. & 5. • Mat. 25. 41.
Act. 5. ◊,Acts 5,['Acts 5.◊'],"Postquam conspexit angueis ille alter pue•, 〈 … 〉 cunis exilit, facit recta•• angucis impetum, &c. Plautus in Amphitruone. Act. 5. 〈 ◊ 〉."
Psal. 68. 1•.,Psalms 68,['Psalms 68.1•'],Psal. 68. 1•.
1. Cor 3. •.,1 Corinthians 3,['1 Corinthians 3.•'],1. Cor 3. •.
Marc. l •.,Mark 50,['Mark 50 •'],"Sed & mihi famulo Creatoris mūdus crucifixus est ▪ sed non Deus mundi, Et ego munde, non tamen Deo mundi; Mundum enim quantum ad conuersationem e••s posuit ▪ Tertul. aduersus ▪ Marc. l •."
"MICAH VII. VIII, IX.",Micah 9,['Micah viii'],"A CORDIALL FOR CHRISTIANS IN the time of Affliction ▪ MICAH VII. VIII, IX. Rejoyce not against mee, O mine enemy:"
"Acts 13. 8. & Cap. 14. 2, &c. & Ver. 19. & Cap. 16. 19. & Cap. 17. 5. & Ver. 32. & Cap. 19. 2•",Acts 13.8; Acts 14.2; Acts 16.19; Acts 17.5,['Acts 19.2•'],"Acts 13. 8. and Cap. 14. 2, &c. and Ver. 19. and Cap. 16. 19. and Cap. 17. 5. and Ver. 32. and Cap. 19. 2• …. and 24. 5."
Phil. 2. 2•.,Philippians 2,['Philippians 2.2•'],Phil. 2. 2•. .
Ezek. 9. •.,Ezekiel 9,['Ezekiel 9.•'],Ezek. 9. •.
2 Pet. 1. •.,2 Peter 1,['2 Peter 1.•'],2 Pet. 1. •.
Io. 14. 2•.,Job 14,['Job 14.2•'],Io. 14. 2•.
Hab. 2. 4•.,Habakkuk 2,['Habakkuk 2.4•'],Hab. 2. 4•.
Heb. 12. 2•.,Hebrews 12,['Hebrews 12.2•'],Heb. 12. 2•.
Psal. 87. •.,Psalms 87,['Psalms 87.•'],Psal. 87. •.
Rom. 7. •.,Romans 7,['Romans 7.•'],Rom. 7. •.
Coloss. 2. •.,Colossians 2,['Colossians 2.•'],2 Coloss. 2. •.
1 Cor. 3. •.,1 Corinthians 3,['1 Corinthians 3.•'],1 Cor. 3. •.
"2 Sam. 15 2•,",2 Samuel 15,['2 Samuel 15 2•'],"2 Sam. 15 2•,"
Rom. 8. 3•,Romans 8,['Romans 8.3•'],Rom. 8. 3•
Heb. 13. 1•.,Hebrews 13,['Hebrews 13.1•'],Heb. 13. 1•.
Ezek. 33. v. 3•,Ezekiel 33,['Ezekiel 33.3•'],Ezek. 33. v. 3•
Gen. 9 v. 2•.,Genesis 9,['Genesis 9 2•'],Gen. 9 v. 2•.
Num. 16 v. 31.; Iona. 1. v. 4.; Dan. 6. v. 24.; 2. King. 2. v. 3•.,Numbers 16.31; Jonah 1.4; Daniel 6.24; 2 Kings 2,['2 Kings 2.3•'],v. 24. Exon. 14 v. 27. Num. 16 v. 31. Iona. 1. v. 4. Dan. 6. v. 24. 2. King. •. v. 24. 2. King. 2. v. 3•. Act. 1•. v. 23.
Iudg. 16. v. 29.; Levit. 10. v. •.,Judges 16.29; Leviticus 10,['Leviticus 10.•'],Iudg. 16. v. 29. Levit. 10. v. •.
Iob. 9. v. 2•. v. 26.,Job 9,['Job 9.2•.26'],Iob. 9. v. 2•. v. 26.
Mark. 13. v. 3•,Mark 13,['Mark 13.3•'],Mark. 13. v. 3•
Exod. 7. •. 12.; Exod. 7. v. 12.,Exodus 7; Exodus 7.12,['Exodus 7.•.12'],Exod. 7. •. 12. Note. Exod. 7. v. 12.
Isa. 57. • v. 2.,Isaiah 57,['Isaiah 57.• 2'],Isa. 57. • v. 2.
